downloadTime,stationId,stationName,brand,company,address,city,province,lat,lng,fuel,fuelId,price,isSelf,insertDate,validityDate,serviceCount,serviceNames
2026-07-30T11:01:57.765590,58700,Carburanti pisano claude srl via generale cascino 254,PompeBianche,ROLLETTO PAOLA,GENERALE CASCINO 254 - 93012 GELA (CL),GELA,CL,37.060608,14.25408,Gasolio,2,2.079,True,2026-07-29T04:47:37Z,2026-07-29T04:46:00Z,1,Bancomat
2026-07-30T11:01:57.765590,62075,DB CARBURANTI GELA,DBCarburanti,DI BENEDETTO CARBURANTI S.R.L.,GENERALE CASCINO 170 - 93012 GELA (CL),GELA,CL,37.06560943921419,14.257206916809041,Benzina,1,1.969,True,2026-07-28T07:56:43Z,2026-07-28T07:56:00Z,1,Bancomat
2026-07-30T11:01:57.765590,62075,DB CARBURANTI GELA,DBCarburanti,DI BENEDETTO CARBURANTI S.R.L.,GENERALE CASCINO 170 - 93012 GELA (CL),GELA,CL,37.06560943921419,14.257206916809041,Gasolio,2,2.029,True,2026-07-28T07:56:43Z,2026-07-28T07:56:00Z,1,Bancomat
2026-07-30T11:01:57.765590,51112,SCIAGOIL,PompeBianche,EURO RISORSE S.R.L.,STRADA PROVINCIALE 8 KM 24+794 SN - 93012 GELA (CL),GELA,CL,37.104506666507994,14.226673319935799,Benzina,1,2.319,False,2026-07-28T07:07:19Z,2026-07-28T07:07:00Z,3,"Sosta Camper/Tir, Servizi per disabili, Bancomat"
2026-07-30T11:01:57.765590,51112,SCIAGOIL,PompeBianche,EURO RISORSE S.R.L.,STRADA PROVINCIALE 8 KM 24+794 SN - 93012 GELA (CL),GELA,CL,37.104506666507994,14.226673319935799,Benzina,1,2.019,True,2026-07-28T07:07:19Z,2026-07-28T07:07:00Z,3,"Sosta Camper/Tir, Servizi per disabili, Bancomat"
2026-07-30T11:01:57.765590,51112,SCIAGOIL,PompeBianche,EURO RISORSE S.R.L.,STRADA PROVINCIALE 8 KM 24+794 SN - 93012 GELA (CL),GELA,CL,37.104506666507994,14.226673319935799,Gasolio,2,2.519,False,2026-07-28T07:07:19Z,2026-07-28T07:07:00Z,3,"Sosta Camper/Tir, Servizi per disabili, Bancomat"
2026-07-30T11:01:57.765590,51112,SCIAGOIL,PompeBianche,EURO RISORSE S.R.L.,STRADA PROVINCIALE 8 KM 24+794 SN - 93012 GELA (CL),GELA,CL,37.104506666507994,14.226673319935799,Gasolio,2,2.219,True,2026-07-28T07:07:19Z,2026-07-28T07:07:00Z,3,"Sosta Camper/Tir, Servizi per disabili, Bancomat"
2026-07-30T11:01:57.765590,51112,SCIAGOIL,PompeBianche,EURO RISORSE S.R.L.,STRADA PROVINCIALE 8 KM 24+794 SN - 93012 GELA (CL),GELA,CL,37.104506666507994,14.226673319935799,GPL,4,0.899,False,2026-07-28T07:07:19Z,2026-07-28T07:07:00Z,3,"Sosta Camper/Tir, Servizi per disabili, Bancomat"
2026-07-30T11:01:57.765590,6036,eni/agip,AgipEni,SOCIETA' CARBOLUBRIFICANTI DI PUCCIO VINCENZO MANLIO S.A.S.,"117 bis Centrale Sicula, Km. 85+625, gela-catania - - 93012 GELA (CL)",GELA,CL,37.11681877503247,14.286751449108124,Benzina,1,1.96,False,2026-07-27T19:50:02Z,2026-07-27T19:50:02Z,1,Bancomat
2026-07-30T11:01:57.765590,6036,eni/agip,AgipEni,SOCIETA' CARBOLUBRIFICANTI DI PUCCIO VINCENZO MANLIO S.A.S.,"117 bis Centrale Sicula, Km. 85+625, gela-catania - - 93012 GELA (CL)",GELA,CL,37.11681877503247,14.286751449108124,Gasolio,2,1.944,False,2026-07-27T19:50:02Z,2026-07-27T19:50:02Z,1,Bancomat
